from,to,relationship,time,end,,
janhar,Rjan,3,2022,x,,janhar Rjan 3
sveelv,janhar,2,2007,2014,,sveelv janhar 2
janhar,Rgästehausklauserfort,3,2006,2007,,janhar Rgästehausklauserfort 3
janhar,Raqua,3,2007,2014,,janhar Raqua 3
janhar,Ratelier,3,2014,2021,,janhar Ratelier 3
klaerf,janhar,2,2006,2007,,klaerf janhar 2
harwoh,Rschwarzwaldstube,3,1980,2017,,harwoh Rschwarzwaldstube 3
tormic,Rschwarzwaldstube,3,2017,x,,tormic Rschwarzwaldstube 3
Rtantris,harwoh,4,1977,1978,,Rtantris harwoh 4
eckwit,harwoh,1,1977,1978,,eckwit harwoh 1
eckwit,Rtantris,3,1971,1978,,eckwit Rtantris 3
pauboc,eckwit,1,NA,NA,,pauboc eckwit 1
clalum,Rrestaurantbareiss,3,1992,x,,clalum Rrestaurantbareiss 3
Rtantris,clalum,4,1987,1987,,Rtantris clalum 4
heiwin,clalum,1,1987,1987,,heiwin clalum 1
heiwin,Rtantris,3,1978,1991,,heiwin Rtantris 3
eckwit,clalum,1,1988,1988,,eckwit clalum 1
johkin,marmül,1,1994,1998,,johkin marmül 1
marmül,Rrutz,3,2004,x,,marmül Rrutz 3
cleram,Rwaldhotelsonnora,3,2011,x,,cleram Rwaldhotelsonnora 3
cleram,Rwaldhotelsonnora,5,2021,x,,cleram Rwaldhotelsonnora 5
kevfeh,Rthetablekevinfehling,3,2015,x,,kevfeh Rthetablekevinfehling 3
kevfeh,Rthetablekevinfehling,5,2015,x,,kevfeh Rthetablekevinfehling 5
Rschwarzwaldstube,kevfeh,4,2003,2004,,Rschwarzwaldstube kevfeh 4
harwoh,kevfeh,1,2003,2004,,harwoh kevfeh 1
chrbau,Rvictorsfinediningbychristianbau,3,1998,x,,chrbau Rvictorsfinediningbychristianbau 3
chrbau,Rvictorsfinediningbychristianbau,5,1998,x,,chrbau Rvictorsfinediningbychristianbau 5
harwoh,chrbau,1,1993,1997,,harwoh chrbau 1
Rschwarzwaldstube,chrbau,4,1993,1997,,Rschwarzwaldstube chrbau 4
thosch,Rschanzrestaurant,3,2011,x,,thosch Rschanzrestaurant 3
Rgästehausklauserfort,thosch,4,2003,2005,,Rgästehausklauserfort thosch 4
klaerf,thosch,1,2003,2005,,klaerf thosch 1
thosch,Rschanzrestaurant,5,2011,x,,thosch Rschanzrestaurant 5
Rschwarzwaldstube,thosch,4,1999,2003,,Rschwarzwaldstube thosch 4
harwoh,thosch,1,1999,2003,,harwoh thosch 1
thosch,Rwaldhotelsonnora,3,2005,2011,,thosch Rwaldhotelsonnora 3
helthi,Rwaldhotelsonnora,3,1978,2017,,helthi Rwaldhotelsonnora 3
helthi,Rwaldhotelsonnora,5,1978,2017,,helthi Rwaldhotelsonnora 5
thosch,helthi,2,2005,2011,,thosch helthi 2
chrjür,Rrestaurantüberfahrtchristianjürgens,3,2008,2023,,chrjür Rrestaurantüberfahrtchristianjürgens 3
benchu,Rtantris,3,2021,x,,benchu Rtantris 3
Rtantris,chrjür,4,1990,1991,,Rtantris chrjür 4
eckwit,chrjür,1,1993,1997,,eckwit chrjür 1
heiwin,chrjür,1,1990,1992,,heiwin chrjür 1
sveelv,Raqua,3,1998,x,,sveelv Raqua 3
chrjür,dansch,2,2004,2009,,chrjür dansch 2
dansch,Rrestaurantüberfahrtchristianjürgens,3,2008,2009,,dansch Rrestaurantüberfahrtchristianjürgens 3
dansch,Rlajordan,3,2014,x,,dansch Rlajordan 3
julsto,Rlakeside,3,2020,x,,julsto Rlakeside 3
julsto,Raloisdallmayrfinedining,6,NA,NA,,julsto Raloisdallmayrfinedining 6
julsto,Rrestaurantbareiss,3,NA,NA,,julsto Rrestaurantbareiss 3
clalum,julsto,2,NA,NA,,clalum julsto 2
julsto,Raqua,6,2012,2014,,julsto Raqua 6
sveelv,julsto,2,2012,2014,,sveelv julsto 2
julsto,Ratelier,6,2014,2018,,julsto Ratelier 6
janhar,julsto,2,2014,2018,,janhar julsto 2
silnic,bengal,2,2010,NA,,silnic bengal 2
bengal,Rvotum,3,2021,x,,bengal Rvotum 3
Rsein,thoben,3,2017,x,,Rsein thoben 3
Rsein,thoben,5,2017,x,,Rsein thoben 5
rosost,Raloisdallmayrfinedining,3,2023,x,,rosost Raloisdallmayrfinedining 3
johkin,rosost,1,2015,2015,,johkin rosost 1
Rschwarzwaldstube,rosost,4,2019,2021,,Rschwarzwaldstube rosost 4
rosost,tormic,1,2019,2021,,rosost tormic 1
fremor,Rcoeurdartichaut,3,2019,x,,fremor Rcoeurdartichaut 3
fremor,Rcoeurdartichaut,5,2019,x,,fremor Rcoeurdartichaut 5
fremor,Rvendome ,6,2013,2014,,fremor Rvendome  6
joawis,fremor,2,2013,2014,,joawis fremor 2
thokel,Rgourmetrestaurantdichter,3,2018,x,,thokel Rgourmetrestaurantdichter 3
thokel,Rtantris,6,1994,2000,,thokel Rtantris 6
hanhaa,thokel,2,1994,2000,,hanhaa thokel 2
hanhaa,Rtantris,3,1991,2020,,hanhaa Rtantris 3
eckwit,hanhaa,2,1982,1987,,eckwit hanhaa 2
nicnus,Rmühle,3,2021,x,,nicnus Rmühle 3
chrjür,nicnus,2,NA,NA,,chrjür nicnus 2
nicnus,Rrestaurantüberfahrtchristianjürgens,6,NA,NA,,nicnus Rrestaurantüberfahrtchristianjürgens 6
yannoa,Rvictorsfinediningbychristianbau,6,NA,NA,,yannoa Rvictorsfinediningbychristianbau 6
yannoa,Rvendome ,6,NA,NA,,yannoa Rvendome  6
yannoa,Rgästehausklauserfort,6,NA,NA,,yannoa Rgästehausklauserfort 6
chrbau,yannoa,2,NA,NA,,chrbau yannoa 2
klaerf,yannoa,2,NA,NA,,klaerf yannoa 2
joawis,yannoa,2,NA,NA,,joawis yannoa 2
yannoa,Rpurs,3,NA,NA,,yannoa Rpurs 3
chrgrü,Raugust,3,1989,x,,chrgrü Raugust 3
chrgrü,Raugust,5,1989,x,,chrgrü Raugust 5
joawis,Rvendome ,3,2000,x,,joawis Rvendome  3
Rschwarzwaldstube,joawis,4,1980,1983,,Rschwarzwaldstube joawis 4
harwoh,joawis,1,1980,1983,,harwoh joawis 1
renfra,Rcodadessertdining,3,2016,x,,renfra Rcodadessertdining 3
renfra,Rcodadessertdining,5,2016,x,,renfra Rcodadessertdining 5
joager,Rfacil,6,2006,2015,,joager Rfacil 6
joager,Rfacil,3,2015,x,,joager Rfacil 3
sebfra,Rhorvath,3,2010,x,,sebfra Rhorvath 3
sebfra,Rhorvath,5,2014,x,,sebfra Rhorvath 5
retbrä,Rlorenzadlonesszimmer,3,2022,x,,retbrä Rlorenzadlonesszimmer 3
timrau,Rtimraue,5,2010,x,,timrau Rtimraue 5
timrau,Rtimraue,3,2010,x,,timrau Rtimraue 3
manulr,Röschnoir,3,2019,x,,manulr Röschnoir 3
tormic,manulr,2,2018,2019,,tormic manulr 2
manulr,Rschwarzwaldstube,6,2018,2019,,manulr Rschwarzwaldstube 6
Rhaerlin,manulr,4,2016,2018,,Rhaerlin manulr 4
chrrüf,manulr,1,2016,2018,,chrrüf manulr 1
jocbus,Rgustav,3,2015,x,,jocbus Rgustav 3
andkro,jocbus,2,2011,2015,,andkro jocbus 2
andkro,Rlafleur,3,2015,x,,andkro Rlafleur 3
dirlut,Rmeiereidirkluther,3,2006,x,,dirlut Rmeiereidirkluther 3
dirlut,Rmeiereidirkluther,5,2014,x,,dirlut Rmeiereidirkluther 5
edisig,Ressenz,3,2021,x,,edisig Ressenz 3
Rgutlärchenhof,edisig,4,2002,2005,,Rgutlärchenhof edisig 4
edisig,Rhugos,6,2005,2007,,edisig Rhugos 6
