from,to,relationship,time,end
janhar,Rjan,3,2022,x
sveelv,janhar,2,2007,2014
janhar,Rgästehausklauserfort,3,2006,2007
janhar,Raqua,3,2007,2014
janhar,Ratelier,3,2014,2021
klaerf,janhar,2,2006,2007
harwoh,Rschwarzwaldstube,3,1980,2017
tormic,Rschwarzwaldstube,3,2017,x
Rtantris,harwoh,4,1977,1978
eckwit,harwoh,1,1977,1978
eckwit,Rtantris,3,1971,1978
pauboc,eckwit,1,NA,NA
clalum,Rrestaurantbareiss,3,1992,x
Rtantris,clalum,4,1987,1987
heiwin,clalum,1,1987,1987
heiwin,Rtantris,3,1978,1991
eckwit,clalum,1,1988,1988
johkin,marmül,1,1994,1998
marmül,Rrutz,3,2004,x
cleram,Rwaldhotelsonnora,3,2011,x
cleram,Rwaldhotelsonnora,5,2021,x
kevfeh,Rthetablekevinfehling,3,2015,x
kevfeh,Rthetablekevinfehling,5,2015,x
Rschwarzwaldstube,kevfeh,4,2003,2004
harwoh,kevfeh,1,2003,2004
chrbau,Rvictorsfinediningbychristianbau,3,1998,x
chrbau,Rvictorsfinediningbychristianbau,5,1998,x
harwoh,chrbau,1,1993,1997
Rschwarzwaldstube,chrbau,4,1993,1997
thosch,Rschanzrestaurant,3,2011,x
Rgästehausklauserfort,thosch,4,2003,2005
klaerf,thosch,1,2003,2005
thosch,Rschanzrestaurant,5,2011,x
Rschwarzwaldstube,thosch,4,1999,2003
harwoh,thosch,1,1999,2003
thosch,Rwaldhotelsonnora,3,2005,2011
helthi,Rwaldhotelsonnora,3,1978,2017
helthi,Rwaldhotelsonnora,5,1978,2017
thosch,helthi,2,2005,2011
chrjür,Rrestaurantüberfahrtchristianjürgens,3,2008,2023
benchm,Rtantris,3,2021,x
Rtantris,chrjür,4,1990,1991
eckwit,chrjür,1,1993,1997
heiwin,chrjür,1,1990,1992
sveelv,Raqua,3,1998,x
chrjür,dansch,2,2004,2009
dansch,Rrestaurantüberfahrtchristianjürgens,3,2008,2009
dansch,Rlajordan,3,2014,x
julsto,Rlakeside,3,2020,x
julsto,Raloisdallmayrfinedining,6,NA,NA
julsto,Rrestaurantbareiss,3,NA,NA
clalum,julsto,2,NA,NA
julsto,Raqua,6,2012,2014
sveelv,julsto,2,2012,2014
julsto,Ratelier,6,2014,2018
janhar,julsto,2,2014,2018
silnic,bengal,2,2010,NA
bengal,Rvotum,3,2021,x
Rsein,thoben,3,2017,x
Rsein,thoben,5,2017,x
rosost,Raloisdallmayrfinedining,3,2023,x
johkin,rosost,1,2015,2015
Rschwarzwaldstube,rosost,4,2019,2021
rosost,tormic,1,2019,2021
fremor,Rcoeurdartichaut,3,2019,x
fremor,Rcoeurdartichaut,5,2019,x
fremor,Rvendome ,6,2013,2014
joawis,fremor,2,2013,2014
thokel,Rgourmetrestaurantdichter,3,2018,x
thokel,Rtantris,6,1994,2000
hanhaa,thokel,2,1994,2000
hanhaa,Rtantris,3,1991,2020
eckwit,hanhaa,2,1982,1987
nicnus,Rmühle,3,2021,x
chrjür,nicnus,2,NA,NA
nicnus,Rrestaurantüberfahrtchristianjürgens,6,NA,NA
yannoa,Rvictorsfinediningbychristianbau,6,NA,NA
yannoa,Rvendome ,6,NA,NA
yannoa,Rgästehausklauserfort,6,NA,NA
chrbau,yannoa,2,NA,NA
klaerf,yannoa,2,NA,NA
joawis,yannoa,2,NA,NA
yannoa,Rpurs,3,NA,NA
chrgrü,Raugust,3,1989,x
chrgrü,Raugust,5,1989,x
joawis,Rvendome ,3,2000,x
Rschwarzwaldstube,joawis,4,1980,1983
harwoh,joawis,1,1980,1983
renfra,Rcodadessertdining,3,2016,x
renfra,Rcodadessertdining,5,2016,x
joager,Rfacil,6,2006,2015
joager,Rfacil,3,2015,x
sebfra,Rhorvath,3,2010,x
sebfra,Rhorvath,5,2014,x
retbrä,Rlorenzadlonesszimmer,3,2022,x
timrau,Rtimraue,5,2010,x
timrau,Rtimraue,3,2010,x
manulr,Röschnoir,3,2019,x
tormic,manulr,2,2018,2019
manulr,Rschwarzwaldstube,6,2018,2019
Rhaerlin,manulr,4,2016,2018
chrrüf,manulr,1,2016,2018
jocbus,Rgustav,3,2015,x
andkro,jocbus,2,2011,2015
andkro,Rlafleur,3,2015,x
dirlut,Rmeiereidirkluther,3,2006,x
dirlut,Rmeiereidirkluther,5,2014,x
edisig,Ressenz,3,2021,x
Rgutlärchenhof,edisig,4,2002,2005
edisig,Rhugos,6,2005,2007
ebelan,edisig,2,2005,2007
heiwin,edisig,2,2007,2008
edisig,Rlesdeux,6,2013,2019
edisig,Rlesdeux,3,2019,2020
thoimb,R100200kitchen,3,2018,x
thoimb,R100200kitchen,5,2018,x
thoimb,Rvictorsfinediningbychristianbau,6,NA,NA
chrbau,thoimb,2,NA,NA
matfer,Rbianc,3,2017,x
chrrüf,Rhaerlin,3,2002,x
chrrüf,Rschwarzwaldstube,6,1996,1997
harwoh,chrrüf,2,1996,1997
chrrüf,Rrestaurantbareiss,6,1997,1998
clalum,chrrüf,2,1997,1998
tonhoh,Rjante,3,2015,x
tonhoh,Rjante,5,2015,x
tonhoh,Rlorenzadlonesszimmer,6,NA,NA
erimen,Rlemoissonnier,6,NA,NA
