id,name,type,sex,michelin_rating ,nationality ,county,alive
janhar,Jan Hartwig,chef,2,3,deutsch,NA,1
Rjan,JAN,restaurant,NA,3,NA,by,NA
Rgästehausklauserfort,GästeHaus Klaus Erfort,restaurant,NA,2,NA,sl,NA
klaerf,Klaus Erfort,chef,2,2,deutsch,NA,1
sveelv,Sven Elverfeld,chef,2,3,deutsch,NA,1
Raqua,Aqua,restaurant,NA,3,NA,ni,NA
Ratelier,Atelier,restaurant,NA,2,NA,by,NA
Rschwarzwaldstube,Schwarzwaldstube,restaurant,NA,3,NA,bw,NA
harwoh,Harald Wohlfahrt,chef,2,3,deutsch,NA,1
tormic,Torsten Michel,chef,2,3,deutsch,NA,1
eckwit,Eckart Witzigmann,chef,2,3,österreichisch,NA,1
pauboc,Paul Bocuse,chef,2,3,französisch,NA,2
heiwin,Heinz Winkler,chef,2,3,deutsch,NA,2
clalum,Claus-Peter Lumpp,chef,2,3,deutsch,NA,1
Rrestaurantbareiss,Restaurant Bareiss,restaurant,NA,3,NA,bw,NA
johkin,Johannes King,chef,2,2,deutsch,NA,1
marmül,Marco Müller,chef,2,3,deutsch,NA,1
Rrutz,Rutz,restaurant,NA,3,NA,be,NA
cleram,Clemens Rambichler,chef,2,3,deutsch,NA,1
Rwaldhotelsonnora,Waldhotel Sonnora,restaurant,NA,3,NA,rp,NA
kevfeh,Kevin Fehling,chef,2,3,deutsch,NA,1
Rthetablekevinfehling,The Table Kevin Fehling,restaurant,NA,3,NA,hh,NA
chrbau,Christian Bau,chef,2,3,deutsch,NA,1
Rvictorsfinediningbychristianbau,Victor's Fine Dining by Christian Bau,restaurant,NA,3,NA,bw,NA
thosch,Thomas Schanz,chef,2,3,deutsch,NA,1
Rschanzrestaurant,schanz. restaurant,restaurant,NA,3,NA,rp,NA
helthi,Helmut Thieltges,chef,2,3,deutsch,NA,2
chrjür,Christian Jürgens,chef,2,3,deutsch,NA,1
Rrestaurantüberfahrtchristianjürgens,Restaurant Überfahrt Christian Jürgens,,NA,3,NA,by,NA
dansch,Daniel Schimkowitsch,chef,2,2,deutsch,NA,1
Rlajordan,L.A. Jordan,restaurant,NA,2,NA,rp,NA
julsto,Julian Stowasser,chef,2,2,deutsch,NA,1
Rlakeside,Lakeside,restaurant,NA,2,NA,hh,NA
Raloisdallmayrfinedining,Alois - Dallmayr Fine Dining,restaurant,NA,2,NA,by,NA
bengal,Benjamin Gallein,chef,2,2,deutsch,NA,1
silnic,Silvio Nickol,chef,2,2,deutsch,NA,1
Rvotum,Votum,restaurant,NA,2,NA,ni,NA
thoben,Thorsten Bender,chef,2,2,deutsch,NA,1
Rsein,sein,restaurant,NA,2,NA,bw,NA
rosost,Rosina Ostler,chef,1,2,deutsch,NA,1
Rcoeurdartichaut,Coeur D'Artichaut,restaurant,NA,2,NA,nw,NA
fremor,Frédéric Morel,chef,2,2,französisch,NA,1
thokel,Thomas Kellermann,chef,2,2,deutsch,NA,1
Rgourmetrestaurantdichter,Gourmetrestaurant Dichter,restaurant,NA,2,NA,by,NA
hanhaa,Hans Haas,chef,2,2,österreichisch,NA,1
nicnus,Niclas Nussbaumer,chef,2,2,deutsch,NA,1
Rmühle,Mühle,restaurant,NA,2,NA,bw,NA
yannoa,Yannick Noack,chef,2,2,deutsch,NA,1
Rpurs,PURS,restaurant,NA,2,NA,rp,NA
chrgrü,Christian Grünwald,chef,2,2,deutsch,NA,1
Raugust,AUGUST,restaurant,NA,2,NA,by,NA
Rvendome,Vendôme,restaurant,NA,2,NA,nw,NA
joawis,Joachim Wissler,chef,2,2,deutsch,NA,1
Rcodadessertdining,Coda Dessert Dining,restaurant,NA,2,NA,be,NA
renfra,René Frank,chef,2,2,deutsch,NA,1
joager,Joachim Gerner,chef,2,2,österreichisch,NA,1
Rfacil,FACIL,restaurant,NA,2,NA,be,NA
Rhorvath,Horváth,restaurant,NA,2,NA,be,NA
sebfra,Sebastian Frank,chef,2,2,österreichisch,NA,1
Rlorenzadlonesszimmer,Lorenz Adlon Esszimmer,restaurant,NA,2,NA,be,NA
retbrä,Reto Brändli,chef,2,2,schweizerisch,NA,1
timrau,Tim Raue,chef,2,2,deutsch,NA,1
Rtimraue,Restaurant Tim Raue,restaurant,NA,2,NA,be,NA
manulr,Manuel Ulrich,chef,2,2,deutsch,NA,1
Röschnoir,Ösch Noir,restaurant,NA,2,NA,bw,NA
jocbus,Jochim Busch,chef,2,2,deutsch,NA,1
Rgustav,Gustav,restaurant,NA,2,NA,he,NA
andkro,Andreas Krolik,chef,2,2,deutsch,NA,1
Rlafleur,Lafleur,restaurant,NA,2,NA,he,NA
