from,to,relationship,time,end
janhar,Rjan,3,2022,9999
sveelv,janhar,2,2007,2014
janhar,Rgästehausklauserfort,3,2006,2007
janhar,Raqua,3,2007,2014
janhar,Ratelier,3,2014,2021
klaerf,janhar,2,2006,2007
harwoh,Rschwarzwaldstube,3,1980,2017
tormic,Rschwarzwaldstube,3,2017,9999
Rtantris,harwoh,4,1977,1978
eckwit,harwoh,1,1977,1978
eckwit,Rtantris,3,1971,1978
pauboc,eckwit,1,99,99
clalum,Rrestaurantbareiss,3,1992,9999
Rtantris,clalum,4,1987,1987
heiwin,clalum,1,1987,1987
heiwin,Rtantris,3,1978,1991
eckwit,clalum,1,1988,1988
johkin,marmül,1,1994,1998
marmül,Rrutz,3,2004,9999
cleram,Rwaldhotelsonnora,3,2011,9999
cleram,Rwaldhotelsonnora,5,2021,9999
kevfeh,Rthetablekevinfehling,3,2015,9999
kevfeh,Rthetablekevinfehling,5,2015,9999
Rschwarzwaldstube,kevfeh,4,2003,2004
harwoh,kevfeh,1,2003,2004
chrbau,Rvictorsfinediningbychristianbau,3,1998,9999
chrbau,Rvictorsfinediningbychristianbau,5,1998,9999
harwoh,chrbau,1,1993,1997
Rschwarzwaldstube,chrbau,4,1993,1997
thosch,Rschanzrestaurant,3,2011,9999
Rgästehausklauserfort,thosch,4,2003,2005
klaerf,thosch,1,2003,2005
thosch,Rschanzrestaurant,5,2011,9999
Rschwarzwaldstube,thosch,4,1999,2003
harwoh,thosch,1,1999,2003
thosch,Rwaldhotelsonnora,3,2005,2011
helthi,Rwaldhotelsonnora,3,1978,2017
helthi,Rwaldhotelsonnora,5,1978,2017
thosch,helthi,2,2005,2011
chrjür,Rrestaurantüberfahrtchristianjürgens,3,2008,2023
benchm,Rtantris,3,2021,9999
Rtantris,chrjür,4,1990,1991
eckwit,chrjür,1,1993,1997
heiwin,chrjür,1,1990,1992
sveelv,Raqua,3,1998,9999
chrjür,dansch,2,2004,2009
dansch,Rrestaurantüberfahrtchristianjürgens,3,2008,2009
dansch,Rlajordan,3,2014,9999
julsto,Rlakeside,3,2020,9999
julsto,Raloisdallmayrfinedining,6,99,99
julsto,Rrestaurantbareiss,3,99,99
clalum,julsto,2,99,99
julsto,Raqua,6,2012,2014
sveelv,julsto,2,2012,2014
julsto,Ratelier,6,2014,2018
janhar,julsto,2,2014,2018
silnic,bengal,2,2010,99
bengal,Rvotum,3,2021,9999
Rsein,thoben,3,2017,9999
Rsein,thoben,5,2017,9999
rosost,Raloisdallmayrfinedining,3,2023,9999
johkin,rosost,1,2015,2015
Rschwarzwaldstube,rosost,4,2019,2021
rosost,tormic,1,2019,2021
fremor,Rcoeurdartichaut,3,2019,9999
fremor,Rcoeurdartichaut,5,2019,9999
fremor,Rvendome,6,2013,2014
joawis,fremor,2,2013,2014
thokel,Rgourmetrestaurantdichter,3,2018,9999
thokel,Rtantris,6,1994,2000
hanhaa,thokel,2,1994,2000
hanhaa,Rtantris,3,1991,2020
eckwit,hanhaa,2,1982,1987
nicnus,Rmühle,3,2021,9999
chrjür,nicnus,2,99,99
nicnus,Rrestaurantüberfahrtchristianjürgens,6,99,99
yannoa,Rvictorsfinediningbychristianbau,6,99,99
yannoa,Rvendome,6,99,99
yannoa,Rgästehausklauserfort,6,99,99
chrbau,yannoa,2,99,99
klaerf,yannoa,2,99,99
joawis,yannoa,2,99,99
yannoa,Rpurs,3,99,99
chrgrü,Raugust,3,1989,9999
chrgrü,Raugust,5,1989,9999
joawis,Rvendome,3,2000,9999
Rschwarzwaldstube,joawis,4,1980,1983
harwoh,joawis,1,1980,1983
renfra,Rcodadessertdining,3,2016,9999
renfra,Rcodadessertdining,5,2016,9999
joager,Rfacil,6,2006,2015
joager,Rfacil,3,2015,9999
sebfra,Rhorvath,3,2010,9999
sebfra,Rhorvath,5,2014,9999
retbrä,Rlorenzadlonesszimmer,3,2022,9999
timrau,Rtimraue,5,2010,9999
timrau,Rtimraue,3,2010,9999
manulr,Röschnoir,3,2019,9999
tormic,manulr,2,2018,2019
manulr,Rschwarzwaldstube,6,2018,2019
Rhaerlin,manulr,4,2016,2018
chrrüf,manulr,1,2016,2018
jocbus,Rgustav,3,2015,9999
andkro,jocbus,2,2011,2015
andkro,Rlafleur,3,2015,9999
dirlut,Rmeiereidirkluther,3,2006,9999
dirlut,Rmeiereidirkluther,5,2014,9999
edisig,Ressenz,3,2021,9999
