id,name,type,sex,michelin_rating ,nationality ,county,cuisine_style,alive
chrbau,Christian Bau,chef,2,3,deutsch,NA,französisch/japanisch,1
Rfinedining,Victor’s Fine Dining by Christian Bau,restaurant,NA,3,NA,sl,französisch/japanisch,NA
Rtalmühle,Talmühle,restaurant,NA,NA,NA,bw,NA,2 (umbau)
thobue,Thomas Bühner,chef,2,3,deutsch,NA,taiwanesisch/europäisch,1
Rschweizerhaus,Schweizer Haus,restaurant,NA,NA,NA,nrw ,NA,2
Rlavie,La Vie by Thomas Bühner,restaurant,NA,NA,NA,NA,taiwanesisch/europäisch,1
harwoh,Harald Wohlfahrt,chef,2,3,deutsch,NA,NA,1
Rschwarzwaldstube,Schwarzwaldstube,restaurant,NA,3,NA,bw,deutsch,NA
chrrüf,Christoph Rüffer,chef,2,2,deutsch,NA,NA,1
Rhaerlin,Haerlin,restaurant,NA,2,NA,hh,deutsch,NA
jörsac,Jörg Sackmann,chef,2,2,deutsch,NA,NA,1
Rschlossberg,Schlossberg,restaurant,NA,2,NA,bw,deutsch,NA
dirhob,Dirk Hoberg,chef,2,2,deutsch,NA,NA,1
Rophelia,Ophelia,restaurant,NA,2,NA,bw,NA,1
silnic,Silvio Nickol,chef,2,2,deutsch,NA,NA,1
Rsilvionickolgourmetrestaurant,Silvio Nickol Gourmetrestaurant,restaurant,NA,2,NA,NA,NA,1
tangra,Tanja Grandits ,chef,1,2,deutsch,NA,deutsch/französisch,1
Rstucki,Stucki,restaurant,NA,2,NA,NA,deutsch/französisch,1
götrot,Götz Rothacker,chef,2,2,deutsch,bw,deutsch,1
