id,name,type,sex,michelin_rating,0tio0lity,county,alive
janhar,Jan Hartwig,chef,2,3,deutsch,0,1
Rjan,JAN,restaurant,0,3,0,by,0
Rgästehausklauserfort,GästeHaus Klaus Erfort,restaurant,0,2,0,sl,0
klaerf,Klaus Erfort,chef,2,2,deutsch,0,1
sveelv,Sven Elverfeld,chef,2,3,deutsch,0,1
Raqua,Aqua,restaurant,0,3,0,ni,0
Ratelier,Atelier,restaurant,0,2,0,by,0
Rschwarzwaldstube,Schwarzwaldstube,restaurant,0,3,0,bw,0
harwoh,Harald Wohlfahrt,chef,2,3,deutsch,0,1
tormic,Torsten Michel,chef,2,3,deutsch,0,1
eckwit,Eckart Witzigmann,chef,2,3,österreichisch,0,1
pauboc,Paul Bocuse,chef,2,3,französisch,0,2
heiwin,Heinz Winkler,chef,2,3,deutsch,0,2
clalum,Claus-Peter Lumpp,chef,2,3,deutsch,0,1
Rrestaurantbareiss,Restaurant Bareiss,restaurant,0,3,0,bw,0
johkin,Johannes King,chef,2,2,deutsch,0,1
marmül,Marco Müller,chef,2,3,deutsch,0,1
Rrutz,Rutz,restaurant,0,3,0,be,0
cleram,Clemens Rambichler,chef,2,3,deutsch,0,1
Rwaldhotelsonnora,Waldhotel Sonnora,restaurant,0,3,0,rp,0
kevfeh,Kevin Fehling,chef,2,3,deutsch,0,1
Rthetablekevinfehling,The Table Kevin Fehling,restaurant,0,3,0,hh,0
chrbau,Christian Bau,chef,2,3,deutsch,0,1
Rvictorsfinediningbychristianbau,Victor's Fine Dining by Christian Bau,restaurant,0,3,0,bw,0
thosch,Thomas Schanz,chef,2,3,deutsch,0,1
Rschanzrestaurant,schanz. restaurant,restaurant,0,3,0,rp,0
helthi,Helmut Thieltges,chef,2,3,deutsch,0,2
chrjür,Christian Jürgens,chef,2,3,deutsch,0,1
Rrestaurantüberfahrtchristianjürgens,Restaurant Überfahrt Christian Jürgens,restaurant,0,3,0,by,0
dansch,Daniel Schimkowitsch,chef,2,2,deutsch,0,1
Rlajordan,L.A. Jordan,restaurant,0,2,0,rp,0
julsto,Julian Stowasser,chef,2,2,deutsch,0,1
Rlakeside,Lakeside,restaurant,0,2,0,hh,0
Raloisdallmayrfinedining,Alois - Dallmayr Fine Dining,restaurant,0,2,0,by,0
bengal,Benjamin Gallein,chef,2,2,deutsch,0,1
silnic,Silvio Nickol,chef,2,2,deutsch,0,1
Rvotum,Votum,restaurant,0,2,0,ni,0
thoben,Thorsten Bender,chef,2,2,deutsch,0,1
Rsein,sein,restaurant,0,2,0,bw,0
rosost,Rosina Ostler,chef,1,2,deutsch,0,1
Rcoeurdartichaut,Coeur D'Artichaut,restaurant,0,2,0,nw,0
fremor,Frédéric Morel,chef,2,2,französisch,0,1
thokel,Thomas Kellermann,chef,2,2,deutsch,0,1
Rgourmetrestaurantdichter,Gourmetrestaurant Dichter,restaurant,0,2,0,by,0
hanhaa,Hans Haas,chef,2,2,österreichisch,0,1
nicnus,Niclas Nussbaumer,chef,2,2,deutsch,0,1
Rmühle,Mühle,restaurant,0,2,0,bw,0
yannoa,Yannick Noack,chef,2,2,deutsch,0,1
Rpurs,PURS,restaurant,0,2,0,rp,0
chrgrü,Christian Grünwald,chef,2,2,deutsch,0,1
Raugust,AUGUST,restaurant,0,2,0,by,0
Rvendome,Vendôme,restaurant,0,2,0,nw,0
joawis,Joachim Wissler,chef,2,2,deutsch,0,1
Rcodadessertdining,Coda Dessert Dining,restaurant,0,2,0,be,0
renfra,René Frank,chef,2,2,deutsch,0,1
joager,Joachim Gerner,chef,2,2,österreichisch,0,1
Rfacil,FACIL,restaurant,0,2,0,be,0
Rhorvath,Horváth,restaurant,0,2,0,be,0
sebfra,Sebastian Frank,chef,2,2,österreichisch,0,1
Rlorenzadlonesszimmer,Lorenz Adlon Esszimmer,restaurant,0,2,0,be,0
retbrä,Reto Brändli,chef,2,2,schweizerisch,0,1
timrau,Tim Raue,chef,2,2,deutsch,0,1
Rtimraue,Restaurant Tim Raue,restaurant,0,2,0,be,0
manulr,Manuel Ulrich,chef,2,2,deutsch,0,1
Röschnoir,Ösch Noir,restaurant,0,2,0,bw,0
jocbus,Jochim Busch,chef,2,2,deutsch,0,1
Rgustav,Gustav,restaurant,0,2,0,he,0
andkro,Andreas Krolik,chef,2,2,deutsch,0,1
Rlafleur,Lafleur,restaurant,0,2,0,he,0
dirlut,Dirk Luther,chef,2,2,deutsch,0,1
Rmeiereidirkluther,Meierei Dirk Luther,restaurant,0,2,0,sh,0
edisig,Edip Sigl,chef,2,2,deutsch,0,1
Ressenz,ES:SENZ,restaurant,0,2,0,by,0
thoimb,Thomas Imbusch,chef,2,2,deutsch,0,1
R100200kitchen,100/200 Kitchen,restaurant,0,2,0,hh,0
matfer,Matteo Ferrantino,chef,2,2,italienisch,0,1
Rbianc,bianc,restaurant,0,2,0,hh,0
Rhaerlin,Haerlin,restaurant,0,2,0,hh,0
chrrüf,Christoph Rüffer,chef,2,2,deutsch,0,1
Rjante,Jante,restaurant,0,2,0,ni,0
tonhoh,Tony Hohlfeld,chef,2,2,deutsch,0,1
erimen,Eric Menton,chef,2,2,französisch,0,1
Rlemoissonnier,Le Moissonnier,restaurant,0,2,0,nw,0
dangot,Daniel Gottschlich,chef,2,2,deutsch,0,1
Roxklee,Ox & Klee,restaurant,0,2,0,nw,0
dirhob,Dirk Hoberg,chef,2,2,deutsch,0,1
Rophelia,Ophelia,restaurant,0,2,0,bw,0
chrrai,Christoph Rainer,chef,2,2,deutsch,0,1
Rlucedoro,Luce d'Oro,restaurant,0,2,0,by,0
dompau,Dominik Paul,chef,2,2,deutsch,0,1
Ropusv,OPUS V,restaurant,0,2,0,bw,0
antgsc,Anton Gschwendter,chef,2,2,deutsch,0,1
bobbrä,Bobby Bräuer,chef,2,2,deutsch,0,1
Resszimmer,EssZimmer,restaurant,0,2,0,by,0
Rtantris,Tantris,restaurant,0,2,0,by,0
benchm,Benjamin Chmura,chef,2,2,ka0disch,0,1
tohnak,Tohru Nakamura,chef,2,2,deutsch,0,1
Rtohruinderschreiberei,Tohru in der Schreiberei,restaurant,0,2,0,by,0
chrbin,Christian Binder,chef,2,2,deutsch,0,1
Rsteinheuersrestaurantzuraltenpost,Steinheuers Restaurant Zur Alten Post,restaurant,0,2,0,rp,0
sebobe,Sebastian Obendorfer,chef,2,2,deutsch,0,1
Robendorferseisvogel,Obendorfers Eisvogel,restaurant,0,2,0,by,0
yveoll,Yves Ollech,chef,2,2,deutsch,0,1
Ressigbrätlein,Essigbrätlein,restaurant,0,2,0,by,0
felsch,Felix Schneider,chef,2,2,deutsch,0,1
Retz,etz,restaurant,0,2,0,by,0
Rlepavillon,Le Pavillon,restaurant,0,2,0,bw,0
marher,Martin Herrmann,chef,2,2,deutsch,0,1
pethag,Peter Hagen-Wiest,chef,2,2,deutsch,0,1
